EmployeeID,EmployeeName,Gender,DepartmentID,LocationID,JobLevelID
E0000069,Bachittar Gera,Male,7,12,2
E0000070,Arya Bandi,Male,10,2,8
E0000071,Michael Bahl,Male,11,8,10
E0000072,Bhavani Rajagopalan,Female,10,8,9
E0000073,Samarth Kar,Female,15,4,3
E0000074,Timothy Zacharia,Female,6,6,4
E0000075,Nathaniel Agrawal,Male,8,12,6
E0000076,Tristan Subramaniam,Male,12,12,10
E0000077,Jagdish Sarna,Male,1,11,4
E0000078,Ucchal Choudhary,Male,15,11,3
E0000079,Anay Koshy,Male,13,4,4
E0000080,Yashasvi Lalla,Female,4,6,4
E0000081,Panini Sunder,Male,11,4,8
E0000082,Hema Loke,Female,9,7,3
E0000083,Vidhi Bajwa,Male,10,5,8
E0000084,Bimala Goel,Male,11,12,10
E0000085,Victor Dani,Female,1,4,7
E0000086,Sara Chopra,Female,1,2,2
E0000087,Barkha Kar,Male,15,3,3
E0000088,Darsh Sharaf,Male,2,12,6
E0000089,Azad Chakraborty,Male,9,9,4
E0000090,Unnati Deol,Male,7,9,7
E0000091,Theodore Bansal,Female,10,4,5
E0000092,Isha Chokshi,Female,12,4,1
E0000093,Viraj Khosla,Male,15,7,10
E0000094,Warjas Koshy,Female,15,4,7
E0000095,Kamya Khatri,Male,13,12,3
E0000096,Ati Pathak,Female,13,7,6
E0000097,Radha Aggarwal,Male,11,8,2
E0000098,Azaan Deshpande,Male,4,2,9
E0000099,Girik Sant,Male,9,8,3
E0000100,Balveer Varkey,Male,13,8,3
E0000101,Yagnesh Pandit,Male,3,1,10
E0000102,Manan Nanda,Female,1,12,2
E0000103,Upasna Devi,Male,11,2,4
E0000104,Tripti Muni,Male,5,10,8
E0000105,Sneha Dara,Male,3,10,3
E0000106,Leena Nagi,Female,8,10,9
E0000107,Veda Patla,Female,8,2,7
E0000108,Rudra Kaul,Male,10,3,1
E0000109,Atharv Varkey,Female,1,5,1
E0000110,Umang Bhasin,Male,14,6,1
E0000111,Chatura Khosla,Male,6,2,6
E0000112,Priya Setty,Male,15,11,9
E0000113,Gautam Sampath,Male,1,7,9
E0000114,Kritika Pillai,Female,15,10,8
E0000115,Waida Oommen,Male,9,11,10
E0000116,Waida Issac,Male,14,1,4
E0000117,Mohini Sharma,Male,4,3,4
E0000118,Viraj Batra,Male,3,11,10
E0000119,Jai Sinha,Male,5,4,7
E0000120,Oni Patla,Female,8,10,1
E0000121,Daksha Tella,Female,10,5,9
E0000122,Gunbir Soman,Male,6,3,5
E0000123,Raagini Jha,Male,5,4,7
E0000124,Eiravati Mannan,Male,5,10,4
E0000125,Omaja Hayer,Female,1,9,1
E0000126,Vidhi Rau,Female,9,2,9
E0000127,Lopa Shroff,Male,11,2,4
E0000128,Yauvani Kala,Male,4,11,4
E0000129,Umang Krish,Female,13,7,1
E0000130,Brinda Chander,Male,8,2,6
E0000131,Falguni Nori,Female,1,3,7
E0000132,Vansha Kanda,Male,2,12,10
E0000133,Tanveer Sinha,Male,14,2,1
E0000134,Janani Bal,Female,2,8,7
E0000135,Mahika Dasgupta,Female,3,9,7
E0000136,Samaksh Talwar,Male,2,12,3
E0000137,Aarna Gulati,Male,9,1,10
E0000138,Dayamai Gera,Male,9,3,9
E0000139,Yauvani Kalla,Male,3,9,6
E0000140,Omkaar Swaminathan,Male,6,12,6
E0000141,Nidhi Sethi,Male,6,1,1
E0000142,Waida Sood,Male,2,10,3
E0000143,David Wagle,Female,8,2,6
E0000144,Aadi Sura,Male,2,1,4
E0000145,Advika Choudhry,Male,10,8,1
E0000146,Adya Sagar,Female,8,6,9
E0000147,Ijaya Minhas,Female,9,7,10
E0000148,Yuvraj Bora,Male,3,2,6
E0000149,Ubika Chand,Female,1,1,9
E0000150,Anmol Sekhon,Female,5,5,3
E0000151,Amara Peri,Male,14,3,1
E0000152,Prisha Sawhney,Female,13,4,1
E0000153,Ucchal Goel,Male,10,6,10
E0000154,Lucky Chaudhuri,Male,5,4,3
E0000155,Kevin Patel,Female,6,4,3
E0000156,Hemangini Behl,Male,9,2,9
E0000157,Gaurav Sekhon,Female,14,2,9
E0000158,Omya Chaudhuri,Female,3,6,10
E0000159,Umang Mutti,Female,8,10,9
E0000160,Balveer Narasimhan,Male,7,2,8
E0000161,Kamala Mohanty,Male,9,2,5
E0000162,Ati Rama,Female,11,1,8
E0000163,Azad Johal,Male,13,3,9
E0000164,Amaira Sawhney,Male,3,10,1
E0000165,Lakshit Sahni,Male,4,4,8
E0000166,Naveen Korpal,Female,11,9,10
E0000167,Vaishnavi Agate,Male,2,3,6
E0000168,Ekanta Chaudhuri,Female,10,5,4
E0000169,Yashica Tella,Female,13,4,8
E0000170,Sanaya Bandi,Male,9,7,6
E0000171,Ayush Sidhu,Female,2,2,10
E0000172,Anamika Bhatti,Male,6,9,5
E0000173,Vasatika Nazareth,Female,1,8,4
E0000174,Frederick Sandal,Female,7,3,2
E0000175,Samuel Chopra,Female,15,8,3
E0000176,Gautami Bal,Male,8,9,8
E0000177,Netra Sharma,Male,3,5,10
E0000178,Fiyaz Kothari,Male,9,7,1
E0000179,Chaitaly Naidu,Male,6,8,3
E0000180,Shivani Nigam,Male,3,4,8
E0000181,Arya Dutta,Male,13,2,6
E0000182,Meera Parmer,Male,8,11,6
E0000183,Dominic Bhatt,Male,10,4,6
E0000184,Jyoti Kohli,Female,1,6,9
E0000185,Bachittar Wadhwa,Male,3,6,9
E0000186,Girindra Chokshi,Female,7,9,7
E0000187,Atharv Dewan,Male,13,12,10
E0000188,Utkarsh Bora,Male,8,7,5
E0000189,Yamini Mall,Female,11,12,7
E0000190,Aradhana Parsa,Male,8,11,7
E0000191,Ishita Sheth,Male,5,2,9
E0000192,Xiti Atwal,Female,1,4,9
E0000193,Yochana Karpe,Male,6,8,7
E0000194,Udarsh Atwal,Female,7,6,6
E0000195,Pranit Bali,Male,11,1,8
E0000196,Janaki Mangat,Female,7,8,10
E0000197,Tarak Ghosh,Male,9,9,8
E0000198,Urmi Shukla,Female,1,3,7
E0000199,Alexander Nagi,Male,15,1,2
E0000200,Ira Barad,Male,13,5,6
E0000201,Kala Chakrabarti,Male,7,1,1
E0000202,Harsh Varughese,Male,13,3,7
E0000203,Qasim Wadhwa,Female,5,8,4
E0000204,Samuel Sem,Female,13,7,1
E0000205,Anamika Vyas,Female,5,2,8
E0000206,Nimrat Ram,Male,11,9,7
E0000207,Yamini Gupta,Male,4,4,1
E0000208,Simon Srinivas,Female,9,2,3
E0000209,Jeet Sandal,Female,12,12,6
E0000210,Anamika Bhandari,Male,1,2,5
E0000211,Eiravati Chander,Female,10,2,5
E0000212,Neha Vohra,Male,15,6,5
E0000213,Abhiram Bhatnagar,Male,3,9,3
E0000214,Arunima Vohra,Female,12,5,5
E0000215,Bishakha Kuruvilla,Male,2,7,1
E0000216,Hemani Kamdar,Male,3,2,8
E0000217,Maanav Singh,Male,15,9,8
E0000218,Geetika Chowdhury,Male,6,8,4
E0000219,Samaksh Reddy,Female,3,2,1
E0000220,Megha Dugar,Male,5,1,3
E0000221,Balvan Bhandari,Male,14,1,7
E0000222,Fitan Roy,Female,13,6,3
E0000223,Madhav Chadha,Male,7,11,1
E0000224,Aditya Dass,Female,8,4,9
E0000225,Yatan Gupta,Female,7,10,4
E0000226,Gabriel Vaidya,Male,3,8,1
E0000227,Yadavi Sandhu,Male,9,3,3
E0000228,Zilmil Setty,Male,11,1,1
E0000229,Anya Hayre,Male,9,8,3
E0000230,Aahana Vig,Male,15,10,6
E0000231,Vasudha Raju,Male,8,11,3
E0000232,Pratyush Balan,Male,12,4,6
E0000233,Eesha Din,Male,2,9,3
E0000234,Yauvani Saraf,Female,12,4,10
E0000235,Nathaniel Mital,Female,2,7,8
E0000236,Oscar Kumar,Male,8,9,1
E0000237,Finn Gopal,Male,14,2,6
E0000238,Janani Rao,Female,10,1,2
E0000239,Advay Misra,Male,13,12,9
E0000240,Faras Chawla,Female,15,12,7
E0000241,Bimala Dhillon,Male,15,11,4
E0000242,Oviya Golla,Male,6,12,5
E0000243,Gagan Salvi,Female,3,10,1
E0000244,Bishakha Khosla,Male,12,4,3
E0000245,Aadhya Kumar,Male,11,11,5
E0000246,Gavin Thakkar,Male,1,10,2
E0000247,Niharika Raval,Female,15,7,4
E0000248,Hredhaan Chakraborty,Male,10,3,3
E0000249,Atharv Subramaniam,Female,2,8,10
E0000250,Samar Vig,Female,2,6,4
E0000251,Indali Ramachandran,Male,10,6,4
E0000252,Dhriti Sarraf,Male,8,11,7
E0000253,Aishani Srinivas,Female,4,7,10
E0000254,Girindra Shan,Male,1,3,3
E0000255,Karan Rajan,Male,14,12,5
E0000256,Hritik Sagar,Female,12,10,7
E0000257,Michael Luthra,Female,2,9,4
E0000258,Utkarsh Narang,Female,2,11,4
E0000259,Nitesh Nath,Male,5,4,1
E0000260,Girindra Chhabra,Male,15,11,6
E0000261,Ranbir Char,Male,1,5,1
E0000262,Jyoti Wable,Male,15,9,1
E0000263,Jagvi Mohan,Female,12,10,7
E0000264,Charita Dalal,Male,6,10,2
E0000265,Qarin Puri,Male,8,4,6
E0000266,Gautami Chauhan,Male,13,1,9
E0000267,Hemangini Gulati,Male,5,9,6
E0000268,Rishi Gade,Male,9,4,6
E0000269,Kevin Sami,Male,6,7,8
E0000270,Gavin Jaggi,Female,3,1,2
E0000271,Yashvi Venkatesh,Male,9,9,9
E0000272,Netra Lal,Male,14,6,9
E0000273,Waida Bala,Male,7,3,9
E0000274,Aarush Dora,Male,12,9,5
E0000275,Aradhana Bahri,Male,3,4,7
E0000276,Zehaan Bail,Male,7,10,8
E0000277,Zilmil Borah,Male,6,10,5
E0000278,Sara Bajwa,Male,10,11,4
E0000279,Nathaniel Gupta,Female,9,8,6
E0000280,Harinakshi Sarkar,Male,11,10,9
E0000281,Forum Soni,Female,14,2,6
E0000282,Fitan More,Male,5,12,4
E0000283,Dakshesh Sehgal,Male,6,12,1
E0000284,Adweta Choudhary,Female,5,2,8
E0000285,Indali Sankaran,Male,8,9,3
E0000286,Fitan Bal,Female,3,9,10
E0000287,Siya Kumar,Female,8,2,9
E0000288,William Madan,Female,3,6,9
E0000289,Gaurang Basu,Female,11,11,4
E0000290,Mohammed Palla,Female,13,2,3
E0000291,Amruta Srinivasan,Male,11,1,3
E0000292,Sachi Dey,Female,6,5,10
E0000293,Falan Shanker,Male,6,2,1
E0000294,Yashoda Varughese,Female,14,4,3
E0000295,Pahal Nagi,Male,12,7,1
E0000296,Bimala Sengupta,Female,8,12,10
E0000297,Alexander Sodhi,Female,14,5,7
E0000298,Nakul Bhavsar,Female,6,10,4
E0000299,Hardik Virk,Male,5,5,5
E0000300,Chanchal Mody,Male,3,8,4
E0000301,Shivani Ratta,Male,8,6,3
E0000302,Theodore Dara,Female,6,10,5
E0000303,Nathaniel Swamy,Male,5,10,4
E0000304,Frederick Dubey,Male,1,11,2
E0000305,Elijah Sen,Male,2,7,2
E0000306,Samar Guha,Female,14,11,8
E0000307,Onkar Dixit,Male,5,8,8
E0000308,Yatin Ratta,Male,1,6,3
E0000309,Anamika Mander,Male,8,6,8
E0000310,Avi Thakkar,Male,12,5,9
E0000311,Brijesh Gala,Male,11,12,4
E0000312,Jason Wali,Female,12,4,6
E0000313,Radhika Srivastava,Male,5,1,9
E0000314,Vasudha Gupta,Male,11,1,4
E0000315,Ucchal Singh,Male,10,5,1
E0000316,Chaitaly Dhaliwal,Female,2,9,5
E0000317,Janya Datta,Male,15,12,3
E0000318,Sanaya Devan,Female,14,8,1
E0000319,Ridhi Dhar,Male,14,3,3
E0000320,Omaja Kunda,Male,10,10,1
E0000321,Osha Gaba,Male,15,10,3
E0000322,Mason Shroff,Male,1,12,2
E0000323,Abeer Hayer,Female,11,9,3
E0000324,Lohit Bal,Male,1,3,3
E0000325,Nilima Khosla,Male,12,7,8
E0000326,Kiaan Mannan,Male,9,12,9
E0000327,Amol Sandhu,Male,6,12,6
E0000328,Ekbal Krishnan,Female,1,10,8
E0000329,Harrison Vyas,Male,7,3,3
E0000330,Lucky Mangal,Female,1,10,2
E0000331,Samaksh Basak,Female,14,11,9
E0000332,Niharika Ganesh,Female,6,10,2
E0000333,Teerth Luthra,Male,1,9,2
E0000334,Omya Grewal,Female,3,4,2
E0000335,Oviya Mander,Male,13,3,2
E0000336,Umang Buch,Male,12,12,2
E0000337,Manya Bassi,Male,11,8,1
E0000338,Owen Sharma,Female,4,3,8
E0000339,Farhan Singh,Male,14,5,10
E0000340,Jalsa Pathak,Male,7,6,7
E0000341,Zaitra Chaudhuri,Female,3,12,4
E0000342,Luke Sridhar,Female,12,3,5
E0000343,Timothy Sachar,Male,2,9,4
E0000344,Anvi Singhal,Female,1,7,2
E0000345,Yochana Raghavan,Male,4,4,8
E0000346,Leela Dugal,Male,4,10,9
E0000347,Nakul Barman,Male,10,3,1
E0000348,Yahvi Chatterjee,Male,10,11,6
E0000349,Harrison Naik,Female,14,2,2
E0000350,Abhiram Gade,Female,12,1,4
E0000351,Jagat Sanghvi,Female,12,12,2
E0000352,Upma Pandit,Female,5,11,5
E0000353,Tanvi Bajwa,Male,4,10,5
E0000354,Daksh Pall,Male,10,11,7
E0000355,Saanvi Trivedi,Male,3,10,4
E0000356,Vrinda Kurian,Male,12,10,9
E0000357,Fariq Aurora,Male,15,1,8
E0000358,Rushil Chadha,Male,2,10,10
E0000359,Ekta Rout,Male,14,8,2
E0000360,Shravya Bhat,Male,9,3,4
E0000361,Yauvani Ganesan,Male,8,5,7
E0000362,Bimala Rege,Male,10,9,1
E0000363,Andrew Malhotra,Female,5,7,8
E0000364,Bimala Wali,Male,15,2,9
E0000365,Zaid Dora,Male,7,3,10
E0000366,Osha Gopal,Female,9,6,10
E0000367,Watika Halder,Male,7,9,2
E0000368,Dalbir Din,Male,10,1,8
E0000369,Michael Misra,Male,1,1,3
E0000370,Gaurang Nayak,Female,13,7,10
E0000371,Ronith Cherian,Female,14,9,5
E0000372,Advay Rajan,Male,1,3,4
E0000373,Owen Wali,Male,11,12,4
E0000374,Ati Garde,Female,12,7,1
E0000375,Nihal Sarkar,Female,2,2,6
E0000376,Nikita Chakraborty,Male,8,11,8
E0000377,Nakul Srinivas,Female,8,2,9
E0000378,Onveer Tak,Male,9,4,2
E0000379,Neha Saxena,Female,1,6,5
E0000380,Gaurangi Bal,Male,6,8,2
E0000381,Libni Chaudhari,Male,7,3,9
E0000382,Jyoti Mand,Female,12,10,3
E0000383,Aayush Khare,Female,8,9,10
E0000384,Pratyush Bora,Female,12,10,4
E0000385,Onveer Ramanathan,Female,14,10,9
E0000386,Kashish Narula,Male,8,11,1
E0000387,Siya Cherian,Male,5,10,8
E0000388,Aarna Rao,Female,12,1,3
E0000389,Frederick Arya,Female,13,1,7
E0000390,Naveen Kara,Male,3,6,3
E0000391,Nitara Pandya,Male,8,2,8
E0000392,Yashasvi Rana,Male,3,6,6
E0000393,Falguni Kara,Female,6,3,5
E0000394,Ekantika Bains,Male,12,2,8
E0000395,Chaitaly Anand,Male,6,12,8
E0000396,Lekha Chada,Male,11,1,1
E0000397,Advay Mody,Male,11,10,5
E0000398,Vasatika Bath,Male,9,12,10
E0000399,Anamika Doctor,Male,5,1,6
E0000400,Ayushman Mallick,Female,2,9,3
E0000401,Ansh Nagar,Male,8,12,9
E0000402,Zehaan Balay,Male,10,7,7
E0000403,Akshay Golla,Female,6,5,8
E0000404,Sudiksha Bawa,Male,8,5,2
E0000405,Kabir Choudhury,Female,15,11,4
E0000406,Arin Chandran,Male,5,2,6
E0000407,Charan Mitra,Female,13,7,10
E0000408,Shaurya Dubey,Male,6,2,6
E0000409,Nilima Sami,Male,1,7,8
E0000410,Frado Kaur,Male,5,11,10
E0000411,Chatresh Golla,Male,12,5,2
E0000412,Ridhi Sule,Male,6,6,2
E0000413,Jeet Kapadia,Female,12,6,6
E0000414,Wahab Loyal,Female,12,2,2
E0000415,Aarini Ramaswamy,Male,12,6,1
E0000416,Charita Chada,Female,13,2,4
E0000417,Benjamin Rana,Male,9,1,2
E0000418,Vansha Basu,Male,5,5,5
E0000419,Onkar Bumb,Male,7,7,6
E0000420,Balveer Dora,Female,12,7,2
E0000421,Gaurangi Thakur,Male,11,2,3
E0000422,Zashil Lad,Male,13,4,2
E0000423,Qushi Saxena,Female,8,12,1
E0000424,Yamini Prabhu,Female,10,9,9
E0000425,Lekha Dar,Male,7,5,3
E0000426,Abeer Iyer,Female,5,12,8
E0000427,Yug Kanda,Female,13,11,6
E0000428,Amara Nagar,Male,13,10,3
E0000429,Manthan Tailor,Female,15,12,7
E0000430,Ekta Nagarajan,Male,14,12,5
E0000431,Max Sha,Male,4,6,2
E0000432,Lopa Ray,Male,10,6,9
E0000433,Urmi Doctor,Male,14,3,2
E0000434,Lavanya Virk,Male,8,8,10
E0000435,Varenya Parekh,Male,8,7,5
E0000436,Chaaya Salvi,Male,14,3,2
E0000437,Leela Sastry,Female,1,5,10
E0000438,Varsha Doctor,Male,11,1,3
E0000439,Teerth Edwin,Female,12,5,9
E0000440,Kala Lall,Male,4,7,7
E0000441,Onkar Thakur,Male,1,10,8
E0000442,Gayathri Yogi,Male,14,1,6
E0000443,Tarak Chad,Female,10,9,7
E0000444,Abhiram Bhardwaj,Male,10,2,5
E0000445,Jagrati Sawhney,Male,10,4,8
E0000446,Warinder Tak,Female,8,6,5
E0000447,Yahvi Sampath,Female,14,7,6
E0000448,Joshua Tak,Male,8,10,4
E0000449,Warhi Bhakta,Male,15,5,8
E0000450,Aadi Venkataraman,Male,12,12,2
E0000451,Advika Chada,Male,1,4,2
E0000452,Bhavna Murthy,Female,10,10,7
E0000453,Jack Borra,Male,13,3,3
E0000454,Lavanya Batta,Female,3,12,9
E0000455,William Sinha,Female,15,5,6
E0000456,Shravya Dhar,Male,2,5,4
E0000457,Ryan Purohit,Male,13,6,8
E0000458,Wriddhish Kala,Male,3,11,3
E0000459,Amara Majumdar,Female,11,10,6
E0000460,Manthan Mallick,Female,7,7,1
E0000461,Mitali Reddy,Male,15,1,7
E0000462,Lucky Kulkarni,Male,5,5,4
E0000463,Anvi Grewal,Male,4,2,8
E0000464,Vaishnavi Mann,Female,3,2,5
E0000465,Ekapad Natt,Female,3,12,8
E0000466,Samaksh Chahal,Male,15,3,3
E0000467,Omya Gill,Female,2,1,6
E0000468,Oeshi Patla,Male,7,4,10
E0000469,Chakrika Saxena,Male,13,5,7
E0000470,Baljiwan Kunda,Female,6,11,9
E0000471,Vihaan Dass,Male,2,12,2
E0000472,Anthony Das,Female,6,11,5
E0000473,Dakshesh Murthy,Male,13,6,5
E0000474,Atharv Chopra,Male,15,7,3
E0000475,Kashish Hayre,Female,5,6,6
E0000476,Thomas Nagarajan,Male,10,2,3
E0000477,Anvi Madan,Female,3,2,7
E0000478,Shivansh Tak,Male,9,2,4
E0000479,Radha Sachdeva,Female,5,10,1
E0000480,Lucky De,Male,2,9,7
E0000481,Girindra Ranganathan,Male,12,12,8
E0000482,Yashodhara Parsa,Female,2,4,2
E0000483,Anay Ram,Female,7,1,10
E0000484,Anjali Sant,Female,11,8,7
E0000485,Chameli Bhatti,Male,14,3,8
E0000486,Forum Parsa,Male,15,5,1
E0000487,Rajeshri Bhakta,Male,8,5,4
E0000488,Raghav Chaudhuri,Male,15,7,5
E0000489,Dalbir Zachariah,Female,1,11,8
E0000490,Yash Sibal,Male,9,12,10
E0000491,Oni Patil,Female,14,8,8
E0000492,Vrinda Sawhney,Female,1,10,3
E0000493,Harrison Dey,Female,4,12,3
E0000494,Sai Dey,Male,14,10,9
E0000495,Ikbal Mital,Male,12,9,2
E0000496,Anya Mammen,Female,10,8,6
E0000497,Jackson Bains,Female,6,1,3
E0000498,Bishakha Grewal,Female,13,11,4
E0000499,Madhavi Nanda,Male,10,4,1
E0000500,Pavani Kala,Female,7,3,4
E0000501,Arunima Dalal,Male,1,2,2
E0000502,Pavani Desai,Male,12,9,3
E0000503,Vyanjana Malhotra,Female,5,3,8
E0000504,Vasudha Thaman,Male,4,6,4
E0000505,Azad Manne,Female,1,2,8
E0000506,Faqid Tiwari,Male,12,8,2
E0000507,Vincent Lad,Male,7,2,8
E0000508,Quincy Sanghvi,Male,10,2,3
E0000509,Ekta Gara,Female,2,7,3
E0000510,Chaaya Dubey,Male,7,6,6
E0000511,Jairaj Sama,Female,6,8,2
E0000512,Amrita Sachdeva,Female,12,9,6
E0000513,Neel Deshmukh,Female,1,4,9
E0000514,Chakradhar Dixit,Male,10,11,3
E0000515,Gaurika Lall,Male,4,10,9
E0000516,Balhaar Sachar,Male,6,9,8
E0000517,Teerth Sunder,Male,1,7,9
E0000518,Widisha Kamdar,Female,14,12,1
E0000519,Lipika Choudhary,Male,14,9,3
E0000520,Jagvi Nayak,Male,11,5,2
E0000521,Orinder Guha,Female,1,5,6
E0000522,Elijah Pal,Male,7,1,3
E0000523,Eesha Sabharwal,Female,4,8,9
E0000524,Parth Sanghvi,Male,12,4,2
E0000525,Chasmum Dhar,Male,4,4,10
E0000526,Zaid Chaudry,Male,15,12,4
E0000527,Krishna Bajwa,Male,5,1,10
E0000528,Yashodhara Sandhu,Male,11,8,8
E0000529,Ojasvi Dasgupta,Female,1,4,7
E0000530,Jairaj Saha,Male,2,8,6
E0000531,Oscar Dhillon,Male,7,11,6
E0000532,Riya Dyal,Female,8,3,1
E0000533,Wyatt Krishnamurthy,Female,2,5,9
E0000534,Jackson Guha,Male,8,1,10
E0000535,Vidhi Rajagopalan,Female,14,2,1
E0000536,Odika Yohannan,Male,13,1,1
E0000537,Oeshi Sidhu,Male,13,2,4
E0000538,Devansh Dixit,Male,2,7,10
E0000539,Ranveer Dhaliwal,Female,15,9,10
E0000540,Ekbal Dube,Female,12,8,10
E0000541,Quincy Das,Male,13,7,8
E0000542,Harish Patla,Male,13,2,6
E0000543,Ranbir Dara,Male,12,3,7
E0000544,Edhitha Minhas,Female,5,5,3
E0000545,Raksha Doctor,Male,1,6,7
E0000546,Yatan Tata,Female,10,10,8
E0000547,Finn Dubey,Female,12,5,1
E0000548,Zashil Dugar,Male,11,9,7
E0000549,Ekaja Raju,Male,11,5,1
E0000550,Aryan Mistry,Female,3,6,10
E0000551,Adya Maharaj,Male,11,9,8
E0000552,Yutika Chaudhary,Male,7,4,2
E0000553,Gautami Karan,Male,4,5,7
E0000554,Jagvi Gopal,Female,11,2,4
E0000555,Jack Shanker,Male,15,9,8
E0000556,Zinal Kannan,Female,12,10,9
E0000557,Darpan Mander,Male,12,8,4
E0000558,Yatan Char,Male,4,9,5
E0000559,Omya Banik,Male,10,6,4
E0000560,Pushti Ram,Male,14,10,7
E0000561,Aadhya Khurana,Female,13,12,5
E0000562,Megha Suri,Male,9,8,9
E0000563,Anirudh Raghavan,Female,8,10,5
E0000564,Vrinda Memon,Male,13,7,3
E0000565,Amara Apte,Female,6,12,3
E0000566,Harshil Gandhi,Male,9,3,1
E0000567,Ishita Bail,Male,14,6,7
E0000568,Vamakshi Balasubramanian,Male,11,4,7
E0000569,Radha Kari,Female,10,9,9
E0000570,Guneet Yogi,Male,6,9,4
E0000571,Amrita D’Alia,Male,3,9,1
E0000572,Geetika Kata,Male,10,8,10
E0000573,Bimala Lal,Male,6,10,6
E0000574,Harsh Jha,Female,6,9,10
E0000575,Megha Ray,Male,10,8,8
E0000576,Jai Kapur,Female,10,7,10
E0000577,Faris Patla,Female,9,1,7
E0000578,Bhavani Dani,Female,4,3,8
E0000579,Faris Choudhury,Female,4,8,7
E0000580,Xavier Lalla,Female,3,2,7
E0000581,Yahvi Chadha,Female,4,12,3
E0000582,Nirja Parikh,Female,2,11,9
E0000583,Odika Batta,Female,7,6,1
E0000584,Garima Basak,Male,5,1,6
E0000585,Odika Kalla,Female,7,6,8
E0000586,Yamini Som,Female,10,11,3
E0000587,Irya Loyal,Male,14,8,9
E0000588,Eta Jani,Male,9,2,6
E0000589,Harrison Boase,Female,7,5,2
E0000590,Neha Baria,Male,2,4,8
E0000591,Wazir Lad,Male,5,11,10
E0000592,Dev Varughese,Male,5,7,5
E0000593,Udyati Tank,Male,10,10,7
E0000594,Xavier Mangat,Male,9,8,3
E0000595,Abdul Cherian,Male,9,9,4
E0000596,Yasti Seshadri,Male,9,12,6
E0000597,Devansh Pandey,Female,4,2,2
E0000598,Ekantika Master,Male,14,5,2
E0000599,Manthan Vig,Male,8,7,7
E0000600,Falak Mangat,Male,4,11,4
E0000601,Radha Saran,Female,14,7,8
E0000602,Yoshita Varghese,Female,15,12,7
E0000603,Diya Deshmukh,Female,12,1,7
E0000604,Lipika Deep,Female,10,11,2
E0000605,Alexander Raj,Male,3,8,4
